datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2022-07-15 14:02:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15980,15980,15971.05,15978,12550,12214300,4037
2022-07-15 14:03:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15976.55,15980.85,15975,15976.4,4600,12209450,4038
2022-07-15 14:04:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15976.5,15978.45,15972.45,15973.35,4900,12209450,4039
2022-07-15 14:05:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15974,15979.9,15973.35,15978.05,8500,12209450,4040
2022-07-15 14:06:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15978,15982.85,15976,15979.25,7450,12215150,4041
2022-07-15 14:07:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15979.7,15983,15978.75,15979.45,3200,12215150,4042
2022-07-15 14:08:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15978,15983,15975.6,15979.35,8400,12215150,4043
2022-07-15 14:09:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15981.4,15986.2,15980.8,15981,14350,12218450,4044
2022-07-15 14:10:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15982.65,15987,15982,15986.3,6700,12218450,4045
2022-07-15 14:11:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15986.8,15993,15986.8,15990.9,21600,12218450,4046
2022-07-15 14:12:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15990.5,15990.5,15983.75,15986.95,6850,12215950,4047
2022-07-15 14:13:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15987.6,15994.5,15987,15993.25,12550,12215950,4048
2022-07-15 14:14:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,15994.5,16009.6,15993.25,16009.15,122000,12215950,4049
2022-07-15 14:15:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16008.45,16013.4,16002.45,16006.2,74900,12203750,4050
2022-07-15 14:16:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16007.3,16010,16003,16005.85,29900,12203750,4051
2022-07-15 14:17:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16004.6,16007.95,16000,16007,22750,12203750,4052
2022-07-15 14:18:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16006.6,16011.7,16004,16010,26100,12232200,4053
2022-07-15 14:19:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16011.65,16017.8,16011.65,16016,69800,12232200,4054
2022-07-15 14:20:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16016.2,16019.85,16013.6,16018.55,38950,12232200,4055
2022-07-15 14:21:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16018,16024.35,16017.5,16017.5,48800,12243300,4056
2022-07-15 14:22:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16015.5,16018.2,16006.1,16007.2,43450,12243300,4057
2022-07-15 14:23:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16005.35,16020,16005.35,16020,22050,12243300,4058
2022-07-15 14:24:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16019,16022.6,16017.05,16017.05,28700,12240500,4059
2022-07-15 14:25:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16016.7,16020.7,16015,16016.5,17650,12240500,4060
2022-07-15 14:26:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16016.3,16016.55,16009.05,16010.1,18200,12240500,4061
2022-07-15 14:27:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16010.1,16018,16010.1,16017.5,9800,12245650,4062
2022-07-15 14:28:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16018.65,16023.85,16012,16012,18200,12245650,4063
2022-07-15 14:29:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16012,16018,16012,16015.5,24850,12245650,4064
2022-07-15 14:30:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16015.3,16017.25,16010.25,16013.8,34550,12247650,4065
2022-07-15 14:31:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16016,16026.65,16015,16015,74650,12247650,4066
2022-07-15 14:32:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16014.15,16016,16012,16014.15,26300,12247650,4067
2022-07-15 14:33:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16014.6,16016.25,16011.2,16016.15,23750,12273250,4068
2022-07-15 14:34:00,NIFTY,NFO,Futures,28-JUL-22,Others,0,16016.1,16020,16013,16016.65,10200,12273250,4069
